,TeamName,Year,Wins,Losses,OTLosses,Win%,GoalsFor(GF),GoalsAgainst(GA),+/-
430,EdmontonOilers,1990,37,37,,0.463,272,272,0
431,HartfordWhalers,1990,31,38,,0.388,238,276,-38
432,LosAngelesKings,1990,46,24,,0.575,340,254,86
433,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
434,MontrealCanadiens,1990,39,30,,0.487,273,249,24
435,NewJerseyDevils,1990,32,33,,0.4,272,264,8
436,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
437,NewYorkRangers,1990,36,31,,0.45,297,265,32
438,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
439,PittsburghPenguins,1990,41,33,,0.512,342,305,37
440,QuebecNordiques,1990,16,50,,0.2,236,354,-118
441,St.LouisBlues,1990,47,22,,0.588,310,250,60
442,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
443,VancouverCanucks,1990,28,43,,0.35,243,315,-72
444,WashingtonCapitals,1990,37,36,,0.463,258,258,0
445,WinnipegJets,1990,26,43,,0.325,260,288,-28
446,BostonBruins,1991,36,32,,0.45,270,275,-5
447,BuffaloSabres,1991,31,37,,0.388,289,299,-10
448,CalgaryFlames,1991,31,37,,0.388,296,305,-9
449,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
450,BostonBruins,1990,44,24,,0.55,299,264,35
451,BuffaloSabres,1990,31,30,,0.388,292,278,14
452,CalgaryFlames,1990,46,26,,0.575,344,263,81
453,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
454,DetroitRedWings,1990,34,38,,0.425,273,298,-25
455,EdmontonOilers,1990,37,37,,0.463,272,272,0
456,HartfordWhalers,1990,31,38,,0.388,238,276,-38
457,LosAngelesKings,1990,46,24,,0.575,340,254,86
458,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
459,MontrealCanadiens,1990,39,30,,0.487,273,249,24
460,NewJerseyDevils,1990,32,33,,0.4,272,264,8
461,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
462,NewYorkRangers,1990,36,31,,0.45,297,265,32
463,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
464,PittsburghPenguins,1990,41,33,,0.512,342,305,37
465,QuebecNordiques,1990,16,50,,0.2,236,354,-118
466,St.LouisBlues,1990,47,22,,0.588,310,250,60
467,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
468,VancouverCanucks,1990,28,43,,0.35,243,315,-72
469,WashingtonCapitals,1990,37,36,,0.463,258,258,0
